epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.418268,0.385793,1.28095,0.36220,
002,0.306930,0.084491,0.51880,0.15868,
003,0.185491,0.050851,0.64700,0.19385,
004,0.156032,0.042758,0.39023,0.10989,
005,0.124255,0.032519,0.23382,0.06462,
006,0.120834,0.031544,0.33892,0.10242,
007,0.116958,0.030033,0.40204,0.11385,
008,0.117945,0.031252,0.33369,0.09319,
009,0.108950,0.027449,0.12993,0.03033,
010,0.103653,0.025791,0.38260,0.11736,
011,0.105981,0.026474,0.64336,0.18989,
012,0.108598,0.028180,0.52107,0.14681,
013,0.097025,0.024085,0.29035,0.08220,
014,0.105593,0.027107,0.28919,0.07604,
015,0.100276,0.026425,0.85304,0.24484,
016,0.102567,0.026815,0.31831,0.08440,
017,0.093203,0.023743,0.33065,0.10022,
018,0.089226,0.022622,0.56920,0.17055,
019,0.085510,0.021403,0.21563,0.05055,
020,0.096644,0.024865,0.70197,0.19912,
021,0.087165,0.021306,0.21348,0.06154,
022,0.085900,0.021501,0.96516,0.25099,
023,0.087568,0.022476,0.34587,0.08923,
024,0.078323,0.018965,0.89102,0.23077,
025,0.082981,0.020233,0.55567,0.15077,
026,0.088425,0.022768,0.96636,0.23341,
027,0.084032,0.021159,1.26941,0.33275,
028,0.084737,0.021257,0.18293,0.04396,
029,0.080367,0.020769,0.31009,0.07780,
030,0.077581,0.018137,1.11693,0.33670,
031,0.078215,0.019014,0.24666,0.07209,
032,0.079814,0.019697,0.18156,0.05143,
033,0.078572,0.019453,0.79632,0.21407,
034,0.075128,0.018965,0.20443,0.05846,
035,0.082616,0.020574,0.16937,0.04000,
036,0.076030,0.018819,0.43546,0.12615,
037,0.075785,0.018868,0.22690,0.05758,
038,0.070642,0.017405,0.25895,0.07648,
039,0.072287,0.017162,0.26388,0.06989,
040,0.077998,0.018770,0.54129,0.15121,
041,0.072715,0.017454,0.14750,0.04000,
042,0.077452,0.019453,0.28358,0.08088,
043,0.069554,0.017454,0.52422,0.14857,
044,0.080637,0.019453,0.25087,0.07121,
045,0.068708,0.016723,0.31854,0.08571,
046,0.076238,0.018819,0.16726,0.04484,
047,0.069563,0.015650,0.51041,0.13934,
048,0.075446,0.019160,0.73699,0.22154,
049,0.073535,0.018283,0.42455,0.09802,
050,0.073860,0.018332,0.30669,0.09538,
051,0.067567,0.016381,0.47894,0.13758,
052,0.076330,0.018575,0.13676,0.03473,
053,0.071421,0.017600,0.39211,0.10505,
054,0.067525,0.015309,0.52933,0.15165,
055,0.067839,0.015699,0.28143,0.06989,
056,0.070095,0.016138,0.23227,0.05846,
057,0.069698,0.016771,0.70198,0.18462,
058,0.071023,0.016528,0.15587,0.03385,
059,0.069373,0.016820,0.25520,0.06549,
060,0.072907,0.017844,0.16096,0.04176,
061,0.063102,0.014919,0.09608,0.02154,
062,0.067729,0.016576,0.27412,0.08659,
063,0.073452,0.017747,0.43198,0.11912,
064,0.069549,0.016381,0.83602,0.24440,
065,0.067674,0.016967,0.27025,0.07033,
066,0.067784,0.016333,0.25047,0.07165,
067,0.065328,0.014773,0.34956,0.09011,
068,0.065399,0.015114,0.57789,0.12527,
